epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,894.73,1.38611,2.78775,1.48969,0.4528,0.32958,0.35256,0.15538,1.85739,2.48229,1.85112,0.00023654,0.00023654,0.00023654
2,3180.94,1.30957,1.86118,1.45003,0.49795,0.44371,0.39814,0.18317,1.8838,2.22771,1.93706,0.000465144,0.000465144,0.000465144
3,14764.6,1.26139,1.71555,1.42148,0.62187,0.43158,0.48233,0.22129,1.85571,2.01625,1.89105,0.000684323,0.000684323,0.000684323
4,32671.2,1.2449,1.60113,1.39446,0.65949,0.50332,0.5471,0.24997,1.83869,1.91432,1.85201,0.000671588,0.000671588,0.000671588
5,48074.8,1.2121,1.53325,1.36884,0.61338,0.49777,0.5248,0.22347,1.95494,1.85552,1.92898,0.000657451,0.000657451,0.000657451
6,60308.4,1.18981,1.45096,1.35433,0.72718,0.53201,0.58368,0.26178,1.87528,1.76406,1.83215,0.000643314,0.000643314,0.000643314
7,66679,1.17908,1.41056,1.34263,0.72599,0.508,0.58845,0.29468,1.72219,1.68263,1.70979,0.000629177,0.000629177,0.000629177
8,76083.7,1.15175,1.3603,1.32026,0.71021,0.52968,0.58083,0.26802,1.83372,1.65259,1.78204,0.00061504,0.00061504,0.00061504
9,78809.5,1.14571,1.32226,1.31621,0.78074,0.55576,0.63195,0.32463,1.67441,1.48276,1.68132,0.000600902,0.000600902,0.000600902
10,80999.1,1.12094,1.28137,1.29934,0.76133,0.53638,0.60096,0.27649,1.79785,1.53276,1.75311,0.000586765,0.000586765,0.000586765
11,85254,1.11358,1.24474,1.29106,0.76669,0.5891,0.63517,0.31451,1.68786,1.5305,1.64984,0.000572628,0.000572628,0.000572628
12,89804,1.11004,1.22551,1.2859,0.76351,0.57725,0.65067,0.30264,1.8033,1.449,1.78364,0.000558491,0.000558491,0.000558491
13,91008.1,1.08184,1.19151,1.26923,0.74277,0.57895,0.64258,0.3236,1.70178,1.47424,1.68638,0.000544354,0.000544354,0.000544354
14,91895.1,1.08854,1.17406,1.26877,0.80863,0.5835,0.65119,0.31207,1.75048,1.32897,1.70752,0.000530216,0.000530216,0.000530216
15,92770.2,1.07235,1.14974,1.25432,0.78428,0.58568,0.64989,0.33992,1.65264,1.37367,1.64499,0.000516079,0.000516079,0.000516079
16,93658.7,1.05443,1.11776,1.24499,0.75525,0.58997,0.65578,0.33599,1.71624,1.32791,1.70094,0.000501942,0.000501942,0.000501942
17,94547.7,1.05118,1.08894,1.23998,0.80189,0.58974,0.65976,0.32609,1.75254,1.32987,1.70926,0.000487805,0.000487805,0.000487805
